,name,borough,zip
691,W 59 St & 10 Ave,Manhattan,100
366,West End Ave & W 60 St,Manhattan,100
55,1 Ave & E 6 St,Manhattan,1002
1383,E 2 St & 2 Ave,Manhattan,1002
25,11 St & Washington St,Jersey City,7030
72,12 St & Sinatra Dr N,Jersey City,7030
3,14 St Ferry - 14 St & Shipyard Ln,Jersey City,7030
60,4 St & Grand St,Jersey City,7030
11,6 St & Grand St,Jersey City,7030
20,7 St & Monroe St,Jersey City,7030
19,8 St & Washington St,Jersey City,7030
76,9 St HBLR - Jackson St & 8 St,Jersey City,7030
35,Adams St & 11 St,Jersey City,7030
26,Adams St & 2 St,Jersey City,7030
51,Church Sq Park - 5 St & Park Ave,Jersey City,7030
66,City Hall - Washington St & 1 St,Jersey City,7030
22,Clinton St & 7 St,Jersey City,7030
27,Columbus Park - Clinton St & 9 St,Jersey City,7030
46,Grand St & 14 St,Jersey City,7030
82,Grand St & 2 St,Jersey City,7030
57,Hoboken Terminal - Hudson St & Hudson Pl,Jersey City,7030
39,Hoboken Terminal - River St & Hudson Pl,Jersey City,7030
74,Hudson St & 4 St,Jersey City,7030
78,Madison St & 1 St,Jersey City,7030
43,Madison St & 10 St,Jersey City,7030
0,Mama Johnson Field - 4 St & Jackson St,Jersey City,7030
23,South Waterfront Walkway - Sinatra Dr & 1 St,Jersey City,7030
34,Southwest Park - Jackson St & Observer Hwy,Jersey City,7030
47,Stevens - River Ter & 6 St,Jersey City,7030
79,Willow Ave & 12 St,Jersey City,7030
17,Bloomfield St & 15 St,Jersey City,7087
62,Riverview Park,Jersey City,7087
77,Brunswick & 6th,Jersey City,7302
31,Brunswick St,Jersey City,7302
5,City Hall,Jersey City,7302
24,Columbus Drive,Jersey City,7302
28,Dixon Mills,Jersey City,7302
73,Essex Light Rail,Jersey City,7302
6,Glenwood Ave,Jersey City,7302
29,Grand St,Jersey City,7302
14,Grove St PATH,Jersey City,7302
61,Hamilton Park,Jersey City,7302
32,JC Medical Center,Jersey City,7302
37,Jersey & 3rd,Jersey City,7302
52,Jersey & 6th St,Jersey City,7302
65,Manila & 1st,Jersey City,7302
18,Marin Light Rail,Jersey City,7302
36,McGinley Square,Jersey City,7302
58,Monmouth and 6th,Jersey City,7302
30,Montgomery St,Jersey City,7302
49,Morris Canal,Jersey City,7302
67,Newark Ave,Jersey City,7302
56,Paulus Hook,Jersey City,7302
44,Van Vorst Park,Jersey City,7302
68,Warren St,Jersey City,7302
75,Washington St,Jersey City,7302
21,Astor Place,Jersey City,7304
55,Bergen Ave,Jersey City,7304
42,Communipaw & Berry Lane,Jersey City,7304
116,JCBS Depot,Jersey City,7304
59,Lafayette Park,Jersey City,7304
4,Liberty Light Rail,Jersey City,7304
86,Liberty Light Rail,Jersey City,7304
33,Lincoln Park,Jersey City,7304
64,Union St,Jersey City,7304
13,Bergen Ave & Stegman St,Jersey City,7305
9,Grant Ave & MLK Dr,Jersey City,7305
8,Jackson Square,Jersey City,7305
15,5 Corners Library,Jersey City,7306
1,Baldwin at Montgomery,Jersey City,7306
63,Christ Hospital,Jersey City,7306
41,Dey St,Jersey City,7306
71,Fairmount Ave,Jersey City,7306
16,Hilltop,Jersey City,7306
2,Journal Square,Jersey City,7306
7,Oakland Ave,Jersey City,7306
40,Sip Ave,Jersey City,7306
80,2 St HBLR - 2 St & Marshall St,Jersey City,7307
12,Heights Elevator,Jersey City,7307
